komentar,label
dulu perhati kalian diam gilir sekarang perhati daerah nya bangun malah gak terima dulu harga butuh sana tinggi faktor jalan sekarang di ajar produksi sendiri ko gak terima sudah,1
pribadi saran jangan baper masyarakat asli papua tunjuk berani untuk olah tani modern tunjuk anda mampu serap ilmu para datang jangan buruk sangka thdp masyarakat transmigran sudah mukim sana sejak era an,0
niat baik perintah buka lahan tani jangan buat rakyat papua derita,0
gantung bagaimana proses perintah masyarakat adat kalau memang gusur tidak beri ganti rugi bagi lahan ulang masyarakat jadi lahan produksi harus perintah kan bijak kalau semua beri perintah maka yang sadar diri masyarakat tempat,0
tak tahu kata apa pusing,-1
ajak urun rembuk aja ajak dialog ulang yakin saudara di merauke faham tuju baik perintah memang sdh mesti tiap projek nasional masyarakat libat dialog budaya,1
pantas warga asli merauke beri tunjang hidup karena memang lahan tempat tahan hidup guna butuh nasional perintah harus pikir moga semua baik tetap langsung damai nkri makmur damai dan sentosa,0
warga sana mungkin takut cari makan proyek padahal tuju perintah padahal baik tuju masyarakat lapar kalo lumbung padi besar papua perintah beri kasih paham masyarakat sana tidak takut,1
tiap proyek ada tuju tuju tinggal d lihat mana lbh bnyk tuju at tidak,1
masyarat adat libat ingat kan maju bangsa,1
spy warga protes libat rakyat tempat dl mrk sejahtera dl,1
bagi penting libat sejahtera seluruh masyarakat tempat pasti tetap jaga imbang alam,0
wajib masyarakat adat jamin perintah kurang pangan,1
perintah dengar suara rakyat rakyat mau jangan lanjut pelan pelan bangun tahap papua butuh lahan tani masyarakat minta sendiri usah paksa,1
semua benar baik din maupun masyarakat adat tuju perintah mudah murah harga pangan indonesia bagi timur khusus tuju masyarakat adat jaga lestari wilayah leluhur,1
serba salah ambil bahan impor di in buka lahan gak juga,0
lama masyarakat libat kerja langsung hidup tak masalah tidak wajar mereka teriak,0
terus klo ga jadi food estate mau jadi terus mau papua,1
manusia nyari stok pangan ingat binatang jangan keilangan rumah sumber pangan,1
selamat nikmat hutan gundul,-1
proyek dajjal jokowi batal semua,-1
ujung ujung jadi milik oligarki,-1
swasembada pangan kemaren ude gaung beberapa presiden belum fakta apa jadi kawan tanam singkong hektar hektar hutan babat kayu embat dana abis trilyunan malah buah jagung alias kaga nyambung urus paling kecil aja garam import gula beras kedele buah an banyak lain semua terus import ga lucu kan emang paling gampang cari cuan pak jabat fee import guedeeee untunge milyaran rupe bisnis modal bagi cuannya pengin jatah pualing besar mau bukti real lapang bro klo ngomong sich gampang nyata hasil jauh panggang api mudah an rezim yang sekarang bener rakyat cuman harap harap terus harap walaupun akhir rakyat tetap kacewo kaciwi kecewe ape kecewa,0
notice banyak komen dari orang luar papua bicara atas baik saudara saudara papua merauke hilang tanah siapa hidup putar balik derajat siapa terimakasih perintah siapa kalau kalian argumen dasar baik masyarakat umum negara arti kalian amin ampas hak orang marginalisasi kelompok cara politik penting kelompok kelompok lebih rapat pusat adab euphemisme imperialisme bbc media barat lantas apa derita orang merauke gak valid exactly kalian laku seperti bisa jadi amunisi media luar berita bbc kasus nyata kalian mah sampe sekarang aja ngebela jual premis tentu jadi tidak jadi food estate kalimantan indonesia banyak yang pro pale stina pro imperialisme domestik,0
dampak rusa butuh waktu lama kembali ekosistem sudah pikir ulang apa yang kalimantan hijau,0
harus takutin warga lokal dgn datang tni n sama sj dgn masa orde baru,1
lahan gusur terus masyarakat adat mau cari makan mana negara jamin langsung hidup punya hak atas tanah negara bayar gaji ka enak bongkar hutan yang manjamin langsung hidup mereka suara terus rakyaku dunia tau bangsa papua sedang jajah,-1
waah masak proyek tahan pangan libat tentara hendak jangan paksa diri jangan alat negara guna sebut rakyat perlu ingat hal ini,1
akan gusur wsega asli sanah nanti akan ngerjajan nya wsrga cina boss hahah batal kan ctop smeua proyek akap akal mulyono,-1
ampas tanah oligarki brooo,-1
bijak rugi bangsa indonesia rakyat rasa moga di usut jagung,0
food estate akan rugi masyarakat asli papua,-1
ini cara licik singkir orang asli agama tentu makanya yang bagi timur tidak heran papua minta merdeka kenapa timor leste merdeka,0
proyek food estate perintah baik sumatra utara kalimantan semua gagal sekarang papua mau jajah udah cukup jajah freeport di papua rakyat papua uda banyak di bodoh jajah asing jajah negri,-1
ajar alam proyek cendana orba plg juta hektar kalteng juta hektar riau lah gambut gagal kontraktor wijaya karya rumah bangun nusamba bumn sekarang lahan sebut sdh alih fungsi jadi kebun sawit suasta tebang hutan ambil kayu jt ha yang manfaat,-1
banyak isu jatuh,1
intimidasi halus,1
kan tanah milik rakyat papua koq se enak aja bikin sawah ngambil hasil hutan ngambil hasil tambang apa rakyat papua udah sejahtera kaya kalo rakyat papua semua kaya raya jangan bilang indonesia adil sejahtera krn arti indonesia jajah rampok papua,-1
tidak tuju,1
jangan salah kalau papua merdeka,0
negara sudah kuasa perngusaha sawit raksasa,-1
pertama tama ide smasembada pangan lewat food estate bagus hubung krisis pangan mungkin jadi konflik internasional pengaruh indonesia optimis juga perlu sadar diri refleksi penting kalimantan gagal papua kok gadai uang sda segitu banyak resiko tinggi enggak transparanslah proses skema outputnya lahan yang gagal dialihfungsikan hal kan jadi lahan lantar libat masyarakat tempat alas apa tidak bisa benar masyarakat yang rupa warga negara gusur rasa tekan lalu manfaat food estate siapa hasil siapa transparan warga negara tidak sedia mau masok asing,1
tuju,1
sangat tuju terus bukan tanah kalimantan subur tanah kalimantan hampir habis beri jabat calon mayat mafia sawit,-1
pantetas papuak minta merdeka alam rusak alam keruk hasildi bawa pusat papuak ampas ny aja mana fod estet ny tanam padi tumbuh ny sawit pulak hadehhh negara konoha,0
