komentar,label
Kalau boleh kami mengatakan biarlah masyarakat tetap hidup di tempatnya masing masing jangan sampai pemerintah melempar begitu kemana saja kasihan mereka pak pak pak.,0
Minta tolong kepada perintah agar masyarakat kecil di perhatikan jangan sampai cuma pengusaha saja menjadi perhatian pemerintah,0
Proyek tetap dan boleh jalan tapi masyarakat tetap di perhatikan dengan kesejahteraan nya supaya negara menjadi aman dan tentram.,0
Setidaknya ada kompensasi dari pemerintah setidaknya Pemprop.. sosialisasi ke masyarakat dulu ...,0
Semoga saudra2 kami di Papua sehat2 semua dan hutan yg mreka jaga jangan tergusur lagi. Amin,0
Orang papua itu hidupnya bergantung dari alam.. sama dgn kalimantan.. jadi jgn rusak hutan mereka.. kecuali pemerintah bisa menjamin hidup mereka selama lamanya,0
"seharusnya masyarakat sekitar juga di ajak kerja dan dibayar, bukan malah orang luar yang kerja makanya mereka berontak, seharusnya diajak kerja, diberdayakan, sukses bareng2 gagal ya bareng2 jadi semua mersakan, mana pemerintah gonta ganti pasti ganti kebijakan dan fokusnya",0
"Dibangun salah, ga dibangun koar², di kasih lapangan pekerjaan ngeluh, ga ada kerjaan koar². Sejauh mana kalian itu sudah bersyukur ?",0
"Pembangunan proyek besar seperti ini knp tidak melibatkan masyarakat adat, bgmn pun ingat pepatah dimana bumi dipijak disitu langit dijunjung, hormati masyarakat adat sekecil apapun kelompoknya, tinggalkan arogansi yg tak perlu.",0
Saya bingung. Ada warga yg menolak yg di sbelah warga terlihat sangat senang karena ada lapangan pekerjaan bahkan masyarakat setempat meminta untuk membimbing para petani di merauke.,0
"Tanah Papua adalah salah satu surga Indonesia, disana tidak diperlukan food estate. masyarakat adat papua dari dahulu sampai saat ini yang menjaga keindahan hutan papua. Lantas kenapa hanya demi kepentingan segelintir orang hutan yang indah harus di babat habis",0
"Kalau pemerintah hanya eksploitasi tanah papua dan menguntungkan pengusaha sekaligus menipu warga papua, maka bisa dimaklumi kalau papua berjuang untuk merdeka.",0
tujuan pemerintah itu baik....tapi sesuatu yang baik tanpa sosialisasi dan memberi pengrtahuan masyarakat tentang manfaat proyek ini malah jadi bomerang yang ujung ujungnya di gunakan senjata untuk menyerang dan menjelek jelekan pemerintah. mungkin di masa depan kalo ada suatu wilayah yang masyarakatnya sudah nyaman dengan keadaan mereka pemerintah gak perlu cawe cawe terlalu jauh mengusik mereka biarkan mereka hidup dengan keadaan yang membuat mereka nyaman.,0
Doa buat saudara kami di Merauke,0
SEMOGA SEGERA DITANGANI DG BAIK (selesaikan segala masalah + pusat jg),0
"saya orang indonesia yang hidup di jawa, saya pribadi memohon maaf kepada saudaraku orang papua, semoga keadilan TUHAN sampai kepada kalian, KALIAN BERHAK UNTUK BAHAGIA, semoga doa saya menjadi salah satu doa yang dikabulkan, aamiin,",0
